id,name,type,description,pages,evidence
E00024,JY-A9HF 井,井,发生砂堵故障的页岩气井,"8,29",1.9 JY-A9HF 井第 2 段砂堵 (16) | 1.9 JY-A9HF 并第 2 段砂堵
E00025,JY-A10HF 井,井,发生砂堵故障的页岩气井,"8,32",1.10 JY-A10HF 井第 4 段砂堵 (19) | JY-A10HF 井人工井底 3975.86m
E00026,JY-A11HF 井,井,发生砂堵故障的页岩气井,"8,34",1.11 JY-A11HF 井第 1、10 段砂堵 (21) | JY-A11HF 井人工井底 3930.93m
E00027,JY-A12HF 井,井,发生砂堵故障的页岩气井,"8,39",1.12 JY-A12HF 井第 13 段砂堵 (26) | 1.12 JY-A12HF 并第 13 段砂堵
E00028,JY-A13HF 井,井,发生砂堵故障的页岩气井,"8,40",1.13 JY-A13HF 井第 1 段砂堵 (27) | 1.13 JY-A13HF 并第 1 段砂堵
E00029,JY-A14HF 井,井,发生砂堵故障的页岩气井,"8,42",1.14 JY-A14HF 井第 1 段砂堵 (29) | 1.14 JY-A14HF 并第 1 段砂堵
E00030,JY-A15HF 井,井,发生砂堵故障的页岩气井,"8,44",1.15 JY-A15HF 井第 5 段砂堵 (31) | 1.15 JY-A15HF 并第 5 段砂堵
E00031,JY-A16HF 井,井,发生砂堵故障的页岩气井,"8,46",1.16 JY-A16HF 井第 8 段砂堵 (33) | JY-A16HF 井人工井底 4803m
E00032,JY-A17HF 井,井,发生砂堵故障的页岩气井,"8,48",1.17 JY-A17HF 井第 16 段砂堵 (35) | 1.17 JY-A17HF 并第 16 段砂堵
E00033,JY-A18HF 井,井,发生砂堵故障的页岩气井,"8,50",1.18 JY-A18HF 井第 2 段砂堵 (37) | JY-A18HF 井人工井底 5115m
E00034,JY-A19HF 井,井,发生砂堵故障的页岩气井,"8,56",1.19 JY-A19HF 井第 1 段砂堵 (43) | 1.19 JY-A19HF 并第 1 段砂堵
E00035,JY-A20HF 井,井,发生砂堵故障的页岩气井,"8,61",1.20 JY-A20HF 井第 1 段砂堵 (48) | 1.20 JY-A20HF 并第 1 段砂堵
E00036,JY-A21HF 井,井,发生砂堵故障的页岩气井,"8,63",1.21 JY-A21HF 井第 11 段砂堵 (50) | 1.21 JY-A21HF 并第 11 段砂堵
E00037,JY-A22HF 井,井,发生砂堵故障的页岩气井,"8,65",1.22 JY-A22HF 井第 2 段砂堵 (52) | JY-A22HF 井人工井底 4751m
E00038,JY-A23HF 井,井,发生砂堵的页岩气井,"9,67",1.23 JY-A23HF 井第 11 段砂堵 (54) | 1.23 JY-A23HF 并第 11 段砂堵
E00039,第 11 段,施工参数,压裂施工的具体段数,"9,67",1.23 JY-A23HF 井第 11 段砂堵 (54) | JY-A23HF 并第 11 段砂堵
E00040,JY-A24HF 井,井,发生砂堵的页岩气井,"9,69",1.24 JY-A24HF 井第 2、12 段砂堵 (56) | 1.24 JY-A24HF 并第 2、12 段砂堵
E00041,第 2、12 段,施工参数,压裂施工的具体段数,9,1.24 JY-A24HF 井第 2、12 段砂堵 (56)
E00042,JY-A25HF 井,井,发生砂堵的页岩气井,"9,73",1.25 JY-A25HF 井第 4 段砂堵 (60) | 1.25 JY-A25HF 并第 4 段砂堵
E00043,第 4 段,施工参数,压裂施工的具体段数,"9,32",1.25 JY-A25HF 井第 4 段砂堵 (60) | 1.10 JY-A10HF 并第 4 段砂堵
E00044,JY-A26HF 井,井,发生砂堵的页岩气井,"9,74",1.26 JY-A26HF 井第 10 段砂堵 (61) | 1.26 JY-A26HF 并第 10 段砂堵
E00045,第 10 段,施工参数,压裂施工的具体段数,9,1.26 JY-A26HF 井第 10 段砂堵 (61)
E00046,JY-A27HF 井,井,发生砂堵的页岩气井,"9,76",1.27 JY-A27HF 井第 15 段砂堵 (63) | JY-A27HF 井人工井底 4830.0m
E00047,第 15 段,施工参数,压裂施工的具体段数,9,1.27 JY-A27HF 井第 15 段砂堵 (63)
E00048,低压管线断裂,故障类型,低压管线发生断裂故障,"9,78",1.28 JY-B1HF 井低压管线断裂 (65) | 1.28 JY-B1HF 并低压管线断裂
E00049,高压管件系列事件,故障类型,高压管件发生系列故障事件,9,1.29 JY-B2HF 井高压管件系列事件 (66)
E00050,法兰螺杆断裂,故障类型,法兰连接螺杆发生断裂,"9,14,81",1.30 JY-B3HF 井第 6 段压裂施工中法兰螺杆断裂 (68) | 最终导致弯头刺漏、法兰螺杆断裂等事故 | 发现压裂车的排出法兰与泵头之间的连接螺杆断裂
E00051,高压弯头爆裂,故障类型,高压弯头发生爆裂故障,"9,82",1.31 JY-B4HF 井第 10 段压裂施工中高压弯头爆裂 (69) | 分配管汇出口一高压弯头突然爆裂
E00052,旋塞刺漏,故障类型,旋塞阀发生刺漏故障,"9,86",1.34 JY-B7HF 井第 17 段压裂施工中旋塞刺漏 (73) | 9:11 旋塞刺漏，停泵整改，更换旋塞
E00053,剪断电缆,故障类型,电缆被误操作剪断,"9,88,90",2.1 JY-C1HF 井泵送桥塞 - 射孔误操作剪断电缆 (74) | 关 7 号闸门剪断电缆 | 对指令理解错误剪断电缆
E00054,误操作,原因,人为操作失误导致故障,9,2.1 JY-C1HF 井泵送桥塞 - 射孔误操作剪断电缆 (74)
E00055,遇卡,故障类型,泵送工具在井内遇卡,"9,64,93,100,102,123,126,138,147,175,176,184,234",2.5 JY-C5HF 井泵送桥塞 - 射孔遇卡 (91) | 可能导致下桥塞射孔枪时发生遇卡现象 | 27 日 6:30 循环冲砂时上提管柱发现遇卡 | 480kN 遇卡，下放管柱 260kN 降至 200kN 遇阻 | 遇卡后，通过泄压、打压方式解卡桥塞
E00056,工具串落井,故障类型,泵送工具串落入井底,"9,10,96,120,121,124,126,132,139,142,146,155,157,158,172",2.7 JY-C7HF 井第 8 段泵送工具串落井 (96) | 2.20 JY-C20HF 井泵送工具串落井 (129) | 判断工具串落井，使用人工手拉上提电缆 | 2.11 JY-C11HF 并第 2 段泵送工具串落并 | 操作员多次寻址检测桥塞及射孔枪均失败，初步判断工具串落井
E00057,套管异常,原因,套管状况异常导致故障,"9,137,160",2.17 JY-C17HF 井套管异常致泵送射孔遇卡 (124) | 2.17 JY-C17HF 并套管异常致泵送射孔遇卡 | 2.30 JY-C30HF 并套管异常致泵送射孔遇卡
E00058,井眼轨迹上翘,原因,井眼轨迹向上翘曲导致故障,"9,125,130,131,150,151",2.14 JY-C14HF 井井眼轨迹上翘致泵送工具落井 (117) | 由于井眼轨迹上翘，工具串在井筒内相对摩阻较大 | 2.14 JY-C14HF 井井眼轨迹上翘致泵送工具落井 | 该井水平井眼轨迹上翘，井斜角最大达到 106.8° | 该井井眼轨迹上翘，在上翘段泵送过程中工具串推动砂子前进
E00059,JY-C19HF 井,井,发生阻流管砂卡的井,"10,141",2.19 JY-C19HF 井阻流管砂卡 (128) | 2.19 JY-C19HF 并阻流管砂卡
E00060,JY-C20HF 井,井,发生泵送工具串落井的井,"10,142",2.20 JY-C20HF 井泵送工具串落井 (129) | JY-C20HF 井于 2014 年 12 月 14 日完井
E00061,JY-C21HF 井,井,发生第 2 段泵送工具串落井的井,"10,144",2.21 JY-C21HF 井第 2 段泵送工具串落井 (131) | JY-C21HF 井于 2015 年 2 月 21 日完井
E00062,JY-C22HF 井,井,发生泵送桥塞 - 射孔砂卡的井,"10,145",2.22 JY-C22HF 井第 11、20 段泵送桥塞 - 射孔砂卡 (132) | 2.22 JY-C22HF 并第 11、20 段泵送桥塞 - 射孔砂卡
E00063,JY-C23HF 井,井,发生泵送工具串落井的井,"10,146",2.23 JY-C23HF 井泵送工具串落井 (133) | 2.23 JY-C23HF 并泵送工具串落并
E00064,JY-C24HF 井,井,发生泵送桥塞 - 射孔遇卡的井,"10,148",2.24 JY-C24HF 井第 4 段泵送桥塞 - 射孔遇卡 (135) | 2.24 JY-C24HF 并第 4 段泵送桥塞 - 射孔遇卡
E00065,JY-C25HF 井,井,发生泵送工具串落井的井,"10,149",2.25 JY-C25HF 井泵送工具串落井 (136) | JY-C25HF 井于 2015 年 7 月 21 日完井
E00066,JY-C26HF 井,井,发生泵送桥塞 - 射孔遇卡的井,"10,151",2.26 JY-C26HF 井第 2 段泵送桥塞 - 射孔遇卡 (138) | 2.26 JY-C26HF 并第 2 段泵送桥塞 - 射孔遇卡
E00067,JY-C27HF 井,井,发生泵送电缆射断的井,"10,155",2.27 JY-C27HF 井泵送电缆射断 (142) | 2.27 JY-C27HF 芥泵送电缆射断
E00068,JY-C28HF 井,井,发生第 17 段误射孔的井,10,2.28 JY-C28HF 井第 17 段误射孔 (143)
E00069,JY-C29HF 井,井,发生第 10 段射断电缆的井,"10,158",2.29 JY-C29HF 井第 10 段射断电缆 (145) | 2.29 JY-C29HF 并第 10 段射断电缆
E00070,JY-C30HF 井,井,发生套管异常致泵送射孔遇卡的井,"10,160",2.30 JY-C30HF 井套管异常致泵送射孔遇卡 (147) | 2.30 JY-C30HF 并套管异常致泵送射孔遇卡
E00071,JY-C31HF 井,井,发生第 17 段阻流管砂卡的井,"10,164",2.31 JY-C31HF 井第 17 段阻流管砂卡 (151) | 2.31 JY-C31HF 并第 17 段阻流管砂卡
E00072,JY-C32HF 井,井,发生泵送桥塞 - 射孔泄压失控的井,"10,166",2.32 JY-C32HF 井第 4 段泵送桥塞 - 射孔泄压失控 (153) | JY-C32HF 井于 2015 年 1 月 30 日完井，人工井底 4937.00m
E00073,JY-C33HF 井,井,发生电缆熔断的井,"10,167",2.33 JY-C33HF 井电缆熔断 (154) | 2.33 JY-C33HF 并电缆熔断
E00074,JY-D1HF 井,井,发生连续油管射孔工具串落井的井,"10,171",3.1 JY-D1HF 井连续油管射孔工具串落井 (158) | JY-D1HF 井于 2013 年 7 月 18 日完井
E00075,JY-D2HF 井,井,发生连续油管挤毁的井,"10,173",3.2 JY-D2HF 井连续油管挤毁 (160) | JY-D2HF 井于 2013 年 9 月 15 日完井，人工井底 4291.00m
E00076,JY-D3HF 井,井,发生未钻遇第 1 级桥塞的井,"10,174",3.3 JY-D3HF 井未钻遇第 1 级桥塞 (161) | 3.3 JY-D3HF 并未钴遇第 1 级桥塞
E00077,JY-D4HF 井,井,发生连续油管起钻遇卡的井,"10,176",3.4 JY-D4HF 井连续油管起钻 (造斜段) 遇卡 (163) | JY-D4HF 井于 2013 年 12 月 2 日完井
E00078,JY-D5HF 井,井,发生连续油管钻磨工具串落井的井,"10,177",3.5 JY-D5HF 井连续油管钻磨工具串落井 (164) | 3.5 JY-D5HF 井连续油管钻磨工具串落井
E00079,JY-D6HF 井,井,发生连续油管断脱的井,"10,180",3.6 JY-D6HF 井连续油管断脱 (167) | JY-D6HF 井于 2014 年 1 月 31 日完井，人工井底 4311.00m
E00080,JY-D7HF 井,井,发生连续油管断脱的井,"10,183",3.7 JY-D7HF 井连续油管断脱 (170) | 3.7 JY-D7HF 并连续油管断脱 3.7.1 基本情况 JY-D7HF 井
E00081,JY-D8HF 井,井,发生连续油管自锁的井,"10,185",3.8 JY-D8HF 井连续油管自锁 (172) | 3.8 JY-D8HF 并连续油管自锁
E00082,JY-D9HF 井,井,发生酸液污染钻塞液的井,"10,186",3.9 JY-D9HF 井酸液污染钻塞液 (173) | JY-D9HF 井于 2014 年 5 月 8 日完井，人工井底 4390.00m
E00083,JY-D10HF 井,井,发生钻塞卡钻的井,"10,187",3.10 JY-D10HF 井钻塞卡钻 (174) | 3.10 JY-D10HF 并钴塞卡钴
E00084,JY-D11HF 井,井,发生连续油管工具断脱的井,"10,190",3.11 JY-D11HF 井连续油管工具断脱 (177) | 3.11 JY-D11HF 并连续油管工具断脱
E00085,JY-D12HF 井,井,发生振荡器断裂的井,"10,192",3.12 JY-D12HF 井振荡器断裂 (179) | JY-D12HF 井于 2015 年 2 月 13 日完井
E00086,JY-D13HF 井,井,发生连续油管破裂的井,"10,199",3.13 JY-D13HF 井连续油管破裂 (186) | 3.13 JY-D13HF 并连续油管破裂
E00087,JY-D14HF 井,井,发生连续油管钻塞工具串落井的井,10,3.14 JY-D14HF 井连续油管钻塞工具串落井 (186)
E00088,JY-D15HF 井,井,发生误操作剪断连续油管的井,"10,201",3.15 JY-D15HF 井误操作剪断连续油管 (188) | 3.15 JY-D15HF 并误操作剪断连续油管
E00089,阻流管砂卡,故障类型,阻流管被砂卡住的故障,"10,141",2.19 JY-C19HF 井阻流管砂卡 (128) | 井口电缆被卡在阻流管内
E00090,射孔遇卡,故障类型,泵送桥塞 - 射孔过程中遇卡,10,2.24 JY-C24HF 井第 4 段泵送桥塞 - 射孔遇卡 (135)
E00091,电缆射断,故障类型,泵送电缆被射断,"10,155,158",2.27 JY-C27HF 井泵送电缆射断 (142) | 电缆断开，电缆头钢丝发生弯曲并整齐断开 | 2.29 JY-C29HF 并第 10 段射断电缆
E00092,误射孔,故障类型,非目标层段误射孔,"10,156,157",2.28 JY-C28HF 井第 17 段误射孔 (143) | 2.28 JY-C28HF 并第 17 段误射孔 | 通过复查点火施工过程，检查发现点火极性接反造成误射孔。
E00093,泄压失控,故障类型,泵送桥塞 - 射孔泄压失控,"10,166",2.32 JY-C32HF 井第 4 段泵送桥塞 - 射孔泄压失控 (153) | 2.32 JY-C32HF 并第 4 段泵送桥塞 - 射孔泄压失控
E00094,连续油管挤毁,故障类型,连续油管被挤毁,"10,173",3.2 JY-D2HF 井连续油管挤毁 (160) | 发现连续油管严重变形
E00095,连续油管断脱,故障类型,连续油管断裂脱落,"10,180,182,183",3.6 JY-D6HF 井连续油管断脱 (167) | 14:30 经检查，连续油管断脱，关闭井口 | 连续油管断脱点为 4088.79m | 3.7 JY-D7HF 并连续油管断脱 油管落井
E00096,连续油管,设备,用于作业的连续油管设备,"10,11,23,29,52,55,62,89,90,93,94,101,102,107,108,110,121,122,123,124,125,127,131,133,136,137,140,143,147,149,150,152,153,154,157,161,163,171,172,174,175,176,177,179,180,181,182,184,186,187,190,191,192,195,196,198,199,200,201,202,204,207,209,213,214,231,257,258,264,268,269,270",3.1 JY-D1HF 井连续油管射孔工具串落井 (158) | 3.16 JY-D16HF 井连续油管工具串落井 (190) | 5 月 16~19 日下连续油管，底带冲砂管柱 | 在连续油管模拟通井时 | 采用连续油管冲砂
E00097,桥塞,设备,用于封隔的桥塞工具,"10,50,59,90,92,93,94,96,102,106,107,108,110,112,113,120,121,122,123,125,130,138,139,143,155,156,160,190,191,208,230,231,257,263,264,268",2.22 JY-C22HF 井第 11、20 段泵送桥塞 - 射孔砂卡 (132) | 第 2 段桥塞深度 5065m | 满足泵送桥塞要求 | 第 1 级桥塞设计深度 4045m | 桥塞已丢手处落井
E00098,电缆,设备,用于泵送射孔的电缆,"10,123,129,141,157,169",2.27 JY-C27HF 井泵送电缆射断 (142) | 以免电缆缆芯的绝缘破坏 | 电缆在保护套内是被固定，无法自由活动 | 电缆从密封控制头电缆保护器上方 20cm 处断开 | 13:42 上提电缆，张力由 8.9kN 升至 15kN，无磁定位信号，判断工具串卡住。
E00099,酸液,材料,用于作业的酸液材料,"10,18,54,137",3.9 JY-D9HF 井酸液污染钻塞液 (173) | 后挤入 10m3 酸液，压力仍无明显下降 | 酸液 113m3 | 注入酸液 20.0m³、减阻水 1199.52m³
E00100,钻塞液,材料,用于钻塞的液体材料,10,3.9 JY-D9HF 井酸液污染钻塞液 (173)
E00101,JY-D16HF 井,井,发生连续油管工具串落井故障的井,"11,203",3.16 JY-D16HF 井连续油管工具串落井 (190) | JY-D16HF 井于 2015 年 7 月 11 日完井
E00102,连续油管工具串落井,故障类型,连续油管工具串落入井内的故障,"11,203",3.16 JY-D16HF 井连续油管工具串落井 (190) | 3.16 JY-D16HF 并连续油管工具串落并
E00103,JY-D17HF 井,井,发生连续油管穿孔故障的井,"11,204",3.17 JY-D17HF 井连续油管穿孔 (191) | JY-D17HF 井于 2015 年 2 月 17 日完井
E00104,连续油管穿孔,故障类型,连续油管发生穿孔的故障,"11,204",3.17 JY-D17HF 井连续油管穿孔 (191) | 3.17 JY-D17HF 并连续油管穿孔
E00105,JY-D18HF 井,井,发生振荡器断裂故障的井,11,3.18 JY-D18HF 井振荡器断裂 (192)
E00106,振荡器断裂,故障类型,振荡器发生断裂的故障,"11,192,205",3.18 JY-D18HF 井振荡器断裂 (192) | 振荡器与上部变扣接头连接处断裂 | JY-D18HF 并振荡器断裂
E00107,振荡器,设备,作业使用的振荡器设备,"11,192,198,208",3.18 JY-D18HF 井振荡器断裂 (192) | 振荡器工具 | 初步判断为振荡器在工作时，产生强烈的震动 | 采用新型振荡器，对其性能和使用方法没有熟悉了解
E00108,JY-D19HF 井,井,发生钻塞遇阻故障的井,"11,208",3.19 JY-D19HF 井钻塞遇阻 (195) | 3.19 JY - D19HF 并钴塞遇阻
E00109,钻塞遇阻,故障类型,钻塞作业过程中遇到阻力,11,3.19 JY-D19HF 井钻塞遇阻 (195)
E00110,JY-E1HF 井,井,发生油管憋弯故障的井,"11,215",4.1 JY-E1HF 井油管憋弯 (202) | JY-E1HF 井于 2013 年 7 月 18 日完井
E00111,油管憋弯,故障类型,油管发生憋弯的故障,"11,215",4.1 JY-E1HF 井油管憋弯 (202) | 瞬间压力导致油管弯曲断裂
E00112,油管,设备,作业使用的油管,11,4.1 JY-E1HF 井油管憋弯 (202)
E00113,JY-E4HF 井,井,发生井口水合物冰堵故障的井,"11,221",4.4 JY-E4HF 井井口水合物冰堵 (208) | JY-E4HF 井于 2013 年 12 月 3 日完井，人工井底 4558.00m
E00114,井口水合物冰堵,故障类型,井口因水合物形成导致冰堵,11,4.4 JY-E4HF 井井口水合物冰堵 (208)
E00115,JY-F1HF 井,井,发生分离器安全阀开启故障的井,"11,240",5.1 JY-F1HF 井分离器安全阀开启 (227) | 5.1 JY-F1HF 并分离器安全阀开启
E00116,分离器安全阀开启,故障类型,分离器安全阀异常开启,"11,240",5.1 JY-F1HF 井分离器安全阀开启 (227) | 10:00 发现热交换器压力突然升至 10MPa，分离器安全阀开启
E00117,分离器,设备,试气测试用的分离器,"11,240,241,261",5.1 JY-F1HF 井分离器安全阀开启 (227) | 导出热交换器和分离器，通过放喷管线继续放喷 | 导入分离器后，放喷管线会发生“冰堵” | 31 日 13:30 采气厂取样人员于分离器处取气样现场化验
E00118,JY-G1HF 井,井,发生套管渗漏故障的井,"11,247",6.1 JY-G1HF 井套管渗漏 (234) | 6.1 JY-G1HF 并套管渗漏
E00119,套管渗漏,故障类型,套管发生渗漏的故障,"11,247,253",6.1 JY-G1HF 井套管渗漏 (234) | 本章主要介绍了在页岩气井压裂施工过程中出现的其他一些工程复杂情况 | 6.3 JY-G3HF 并套管渗漏
E00120,套管,设备,井筒套管,11,6.1 JY-G1HF 井套管渗漏 (234)
E00121,弯头刺漏,故障类型,高压弯头因应力集聚发生泄漏,14,最终导致弯头刺漏、法兰螺杆断裂等事故
E00122,施工压力,施工参数,压裂作业时的井口压力,"14,17,21,27,28,34,36,37,38,39,40,41,42,48,49,50,51,52,53,56,57,58,59,60,63,64,65,67,68,70,71,72,73,75,76,78,79,81,83,88,89,93,94,96,97,98,99,100,101,103,107,109,110,113,121,123,130,132,135,137,138,139,140,141,143,144,146,149,150,153,154,158,159,161,171,175,176,177,179,180,181,182,188,189,191,192,193,194,195,196,204,206,207,208,213,231,248,252,260,265,266,269,270",涪陵页岩气田压裂施工压力一般在 60\sim 90\mathrm{MPa} | 粉砂阶段施工压力波动明显 | 施工压力 53~90MPa | 施工压力 63~64MPa | 施工压力 21~80MPa
E00123,砂比,施工参数,压裂液中支撑剂的体积占比,"14,15,17,19,20,21,24,25,30,31,34,36,37,38,40,41,42,48,49,50,53,56,60,63,65,68,69,70,72,74,75,76,77,78,79,83,137,144",砂比 15% 中砂时，压力快速升至 93MPa | 当 12% 砂比加砂进入地层后，压力缓慢上升 | 当进入地层中砂的砂比为 13% + 14% 后 | 分 3 次加入砂比 3% 粉陶段塞 | 当砂比（15%+16%）中砂进入地层后，施工压力较前期略有升高
E00124,高压应力集聚,原因,设备部位因长时间高压施工导致应力无法释放,14,长时间的高压施工等，使其高压弯头集聚的高压应力得不到有效释放
E00125,超压停泵,处置措施,压力超过安全值时停止泵注,"14,15,18,19,22,23,27,32,42,44,45,48,49,50,56,65,68,70,74,137",压力快速升至 93MPa，超压停泵，发生砂堵 | 压力升至 92MPa，超压停泵 | 升至 92MPa，导致超压停泵 | 压力 74MPa 升至 82MPa 再至 92MPa 超压停泵 | 压力大幅升至 96MPa，超压停泵
E00126,③号小层,地层,第 8 级桥塞穿行的地层小层,"14,15,27,32,50,55,56,64,67,75",第 8 级桥塞深度 3498m，穿行于③号小层 | 本段穿行于③号小层，地层层理缝较发育 | 穿行于③号小层 | 第 4 段深度 3732m，穿行于 ③ 号小层 | 井眼轨迹穿行于③号小层
E00127,放喷解堵,处置措施,通过放喷释放压力解堵,"15,17,18,20,21,25,28,40,43,44,50,56,57,63,171",现场讨论决定放喷解堵。控制放喷压力，放喷 53min | 反映出放喷解堵的方式对此类砂堵井适应性较好 | 现场讨论后决定放喷解堵 | 采取了放喷解堵、酸化解堵、小排量顶替解堵 3 种手段 | 后采取放喷解堵方式，用 10mm、20mm 油嘴控制放喷
E00128,排量,施工参数,泵注液体的流量,"15,19,20,25,27,28,30,34,36,37,38,39,40,41,48,49,50,51,52,53,54,56,57,60,62,63,64,65,68,69,70,71,72,74,75,76,77,78,79,81,83,89,92,93,94,95,96,97,98,99,100,101,103,107,109,110,112,113,114,121,123,124,130,132,135,138,139,140,141,144,146,149,151,153,156,158,160,161,171,175,176,177,180,181,182,188,189,192,193,194,195,196,206,208,212,213,231,248,253,263,264,265,266,267,268,269,270",重新开泵试挤，排量 2.5m^3/min | 排量升至 11m³/min | 采用低排量 1.5~2.0 m³/min 试挤减阻水 | 采用减阻水进行小排量试挤，排量 0.5~1.0m³/min | 排出排量升至 14m³/min
E00129,砂桥,现象,裂缝中形成的砂体桥梁,"15,26,45,49,105,140,150,151",由于裂缝延伸受限，逐渐在裂缝中形成砂桥 | 高砂比粗砂在裂缝缝口形成砂桥 | 在裂缝缝口形成“砂桥”，施工压力升高，导致砂堵现象发生 | 对已产生的部分砂桥进行反向冲刷 | 井筒内沉砂被推赶堆积形成砂桥
E00130,盐酸,材料,用于解堵的化学剂,"15,21,28,33,43,45,46,47,62,65,66,68,70,73,75,93",尝试挤入盐酸 10m^3，酸进地层后压力由 69MPa 下降至 49MPa | 其中盐酸 9m^3 | 试挤盐酸 10.11m³ | 其中盐酸 9.7m³ | 累计试挤盐酸 6.7m³
E00131,裂缝延伸受限,原因,裂缝无法正常延伸,"15,49",由于裂缝延伸受限，逐渐在裂缝中形成砂桥 | 导致施工净压力不足，裂缝延伸受限
