id,head,relation,tail,pages,evidence,weight
T00031,JY-A16HF 井,表现为,砂堵,8,1.16 JY-A16HF 井第 8 段砂堵 (33),1
T00032,JY-A17HF 井,表现为,砂堵,8,1.17 JY-A17HF 井第 16 段砂堵 (35),1
T00033,JY-A18HF 井,表现为,砂堵,8,1.18 JY-A18HF 井第 2 段砂堵 (37),1
T00034,JY-A19HF 井,表现为,砂堵,8,1.19 JY-A19HF 井第 1 段砂堵 (43),1
T00035,JY-A20HF 井,表现为,砂堵,8,1.20 JY-A20HF 井第 1 段砂堵 (48),1
T00036,JY-A21HF 井,表现为,砂堵,8,1.21 JY-A21HF 井第 11 段砂堵 (50),1
T00037,JY-A22HF 井,表现为,砂堵,8,1.22 JY-A22HF 井第 2 段砂堵 (52),1
T00038,压裂施工作业复杂情况与故障,包含,砂堵,8,第 1 章 压裂施工作业复杂情况与故障,1
T00039,JY-A23HF 井,表现为,砂堵,9,1.23 JY-A23HF 井第 11 段砂堵 (54),1
T00040,砂堵,发生于,第 11 段,9,1.23 JY-A23HF 井第 11 段砂堵 (54),1
T00041,JY-A24HF 井,表现为,砂堵,9,1.24 JY-A24HF 井第 2、12 段砂堵 (56),1
T00042,砂堵,发生于,第 2、12 段,9,1.24 JY-A24HF 井第 2、12 段砂堵 (56),1
T00043,JY-A25HF 井,表现为,砂堵,9,1.25 JY-A25HF 井第 4 段砂堵 (60),1
T00044,JY-A26HF 井,表现为,砂堵,9,1.26 JY-A26HF 井第 10 段砂堵 (61),1
T00045,JY-A27HF 井,表现为,砂堵,9,1.27 JY-A27HF 井第 15 段砂堵 (63),1
T00046,误操作,导致,剪断电缆,9,2.1 JY-C1HF 井泵送桥塞 - 射孔误操作剪断电缆 (74),1
T00047,套管异常,导致,遇卡,9,2.17 JY-C17HF 井套管异常致泵送射孔遇卡 (124),1
T00048,井眼轨迹上翘,导致,工具串落井,9,2.14 JY-C14HF 井井眼轨迹上翘致泵送工具落井 (117),1
T00049,法兰螺杆,表现为,断裂,9,1.30 JY-B3HF 井第 6 段压裂施工中法兰螺杆断裂 (68),1
T00050,高压弯头,表现为,爆裂,9,1.31 JY-B4HF 井第 10 段压裂施工中高压弯头爆裂 (69),1
T00051,泵送工具串,表现为,落井,9,2.7 JY-C7HF 井第 8 段泵送工具串落井 (96),1
T00052,JY-C19HF 井,表现为,阻流管砂卡,10,2.19 JY-C19HF 井阻流管砂卡 (128),1
T00053,JY-C20HF 井,表现为,工具串落井,10,2.20 JY-C20HF 井泵送工具串落井 (129),1
T00054,JY-C21HF 井,表现为,工具串落井,10,2.21 JY-C21HF 井第 2 段泵送工具串落井 (131),1
T00055,JY-C22HF 井,表现为,阻流管砂卡,10,2.22 JY-C22HF 井第 11、20 段泵送桥塞 - 射孔砂卡 (132),1
T00056,JY-C23HF 井,表现为,工具串落井,10,2.23 JY-C23HF 井泵送工具串落井 (133),1
T00057,JY-C24HF 井,表现为,射孔遇卡,10,2.24 JY-C24HF 井第 4 段泵送桥塞 - 射孔遇卡 (135),1
T00058,JY-C25HF 井,表现为,工具串落井,10,2.25 JY-C25HF 井泵送工具串落井 (136),1
T00059,JY-C26HF 井,表现为,射孔遇卡,10,2.26 JY-C26HF 井第 2 段泵送桥塞 - 射孔遇卡 (138),1
T00060,JY-C27HF 井,表现为,电缆射断,10,2.27 JY-C27HF 井泵送电缆射断 (142),1
T00061,JY-C28HF 井,表现为,误射孔,10,2.28 JY-C28HF 井第 17 段误射孔 (143),1
T00062,JY-C29HF 井,表现为,电缆射断,10,2.29 JY-C29HF 井第 10 段射断电缆 (145),1
T00063,JY-C30HF 井,表现为,射孔遇卡,10,2.30 JY-C30HF 井套管异常致泵送射孔遇卡 (147),1
T00064,JY-C31HF 井,表现为,阻流管砂卡,10,2.31 JY-C31HF 井第 17 段阻流管砂卡 (151),1
T00065,JY-C32HF 井,表现为,泄压失控,10,2.32 JY-C32HF 井第 4 段泵送桥塞 - 射孔泄压失控 (153),1
T00066,JY-C33HF 井,表现为,电缆射断,10,2.33 JY-C33HF 井电缆熔断 (154),1
T00067,JY-D1HF 井,表现为,工具串落井,10,3.1 JY-D1HF 井连续油管射孔工具串落井 (158),1
T00068,JY-D2HF 井,表现为,连续油管挤毁,10,3.2 JY-D2HF 井连续油管挤毁 (160),1
T00069,JY-D3HF 井,表现为,射孔遇卡,10,3.3 JY-D3HF 井未钻遇第 1 级桥塞 (161),1
T00070,JY-D4HF 井,表现为,射孔遇卡,10,3.4 JY-D4HF 井连续油管起钻 (造斜段) 遇卡 (163),1
T00071,JY-D5HF 井,表现为,工具串落井,10,3.5 JY-D5HF 井连续油管钻磨工具串落井 (164),1
T00072,JY-D6HF 井,表现为,连续油管断脱,10,3.6 JY-D6HF 井连续油管断脱 (167),1
T00073,JY-D7HF 井,表现为,连续油管断脱,10,3.7 JY-D7HF 井连续油管断脱 (170),1
T00074,JY-D8HF 井,表现为,连续油管自锁,10,3.8 JY-D8HF 井连续油管自锁 (172),1
T00075,JY-D9HF 井,表现为,酸液污染钻塞液,10,3.9 JY-D9HF 井酸液污染钻塞液 (173),1
T00076,JY-D10HF 井,表现为,钻塞卡钻,10,3.10 JY-D10HF 井钻塞卡钻 (174),1
T00077,JY-D11HF 井,表现为,连续油管断脱,10,3.11 JY-D11HF 井连续油管工具断脱 (177),1
T00078,JY-D12HF 井,表现为,振荡器断裂,10,3.12 JY-D12HF 井振荡器断裂 (179),1
T00079,JY-D13HF 井,表现为,连续油管破裂,10,3.13 JY-D13HF 井连续油管破裂 (186),1
T00080,JY-D14HF 井,表现为,工具串落井,10,3.14 JY-D14HF 井连续油管钻塞工具串落井 (186),1
T00081,JY-D15HF 井,表现为,连续油管破裂,10,3.15 JY-D15HF 井误操作剪断连续油管 (188),1
T00082,连续油管,发生于,连续油管挤毁,10,3.2 JY-D2HF 井连续油管挤毁 (160),1
T00083,电缆,发生于,电缆射断,10,2.27 JY-C27HF 井泵送电缆射断 (142),1
T00084,桥塞,发生于,射孔遇卡,10,2.24 JY-C24HF 井第 4 段泵送桥塞 - 射孔遇卡 (135),1
T00085,JY-D16HF 井,表现为,连续油管工具串落井,11,3.16 JY-D16HF 井连续油管工具串落井 (190),1
T00086,连续油管工具串落井,包含,连续油管,11,3.16 JY-D16HF 井连续油管工具串落井 (190),1
T00087,JY-D17HF 井,表现为,连续油管穿孔,11,3.17 JY-D17HF 井连续油管穿孔 (191),1
T00088,连续油管穿孔,包含,连续油管,11,3.17 JY-D17HF 井连续油管穿孔 (191),1
T00089,JY-D18HF 井,表现为,振荡器断裂,11,3.18 JY-D18HF 井振荡器断裂 (192),1
T00090,振荡器断裂,包含,振荡器,11,3.18 JY-D18HF 井振荡器断裂 (192),1
T00091,JY-D19HF 井,表现为,钻塞遇阻,11,3.19 JY-D19HF 井钻塞遇阻 (195),1
T00092,JY-E1HF 井,表现为,油管憋弯,11,4.1 JY-E1HF 井油管憋弯 (202),1
T00093,油管憋弯,包含,油管,11,4.1 JY-E1HF 井油管憋弯 (202),1
T00094,JY-E4HF 井,表现为,井口水合物冰堵,11,4.4 JY-E4HF 井井口水合物冰堵 (208),1
T00095,JY-F1HF 井,表现为,分离器安全阀开启,11,5.1 JY-F1HF 井分离器安全阀开启 (227),1
T00096,分离器安全阀开启,包含,分离器,11,5.1 JY-F1HF 井分离器安全阀开启 (227),1
T00097,JY-G1HF 井,表现为,套管渗漏,"11,247",6.1 JY-G1HF 井套管渗漏 (234) | 6.1 JY-G1HF 并套管渗漏,2
T00098,套管渗漏,包含,套管,11,6.1 JY-G1HF 井套管渗漏 (234),1
T00099,砂比,导致,砂堵,"14,21,68,69",砂比 15% 中砂时，压力快速升至 93MPa，超压停泵，发生砂堵 | 砂比 16% 的中砂进入裂缝后形成突然性砂堵 | 当第五个中砂段塞砂比（6% +7%）进入地层后，施工压力急速上升 | 当砂比增加超过临界砂比后，施工压力大幅上升和波动,4
T00100,高压应力集聚,导致,弯头刺漏,14,集聚的高压应力得不到有效释放，最终导致弯头刺漏,1
T00101,高压应力集聚,导致,法兰螺杆断裂,14,集聚的高压应力得不到有效释放，最终导致...法兰螺杆断裂,1
T00102,砂堵,发生于,JY-A1HF 井,14,1.1 JY-A1HF 并第 9 段砂堵,1
T00103,施工压力,影响,压裂施工进度,14,造成压裂中途停泵整改，影响了压裂施工进度和施工效果,1
T00104,砂堵,表现为,施工压力急剧上升,15,形成渐进性砂堵，导致施工压力急剧上升至 93MPa,1
T00105,砂比,导致,渐进性砂堵,15,当 15% 砂比进入地层后，中砂进一步堆积，形成渐进性砂堵,1
T00106,裂缝延伸受限,导致,砂桥,15,由于裂缝延伸受限，逐渐在裂缝中形成砂桥,1
T00107,放喷解堵,处置措施,砂堵,"15,21",砂堵停泵后...现场讨论决定放喷解堵 | 后采取放喷解堵方式,2
T00108,盐酸,影响,压力下降,15,尝试挤入盐酸 10m^3，酸进地层后压力由 69MPa 下降至 49MPa,1
T00109,③号小层,包含,地层层理缝,15,本段穿行于③号小层，地层层理缝较发育,1
T00110,近井地带微裂缝发育,导致,液体滤失过大,16,近井地带微裂缝发育，导致液体滤失过大,1
T00111,液体滤失过大,导致,液体效率偏低,16,导致液体滤失过大，液体效率偏低,1
T00112,液体效率偏低,导致,隔离液量不足,16,液体效率偏低，因此 40 m³隔离液量未能满足均匀铺砂条件,1
T00113,施工压力上升,处置措施,控制砂比,16,遇到这种情况...应实时控制砂比,1
T00114,放喷,影响,解除桥堵,16,采取放喷方式...解除桥堵，实现解堵,1
T00115,地面压裂设备发生故障,导致,支撑剂沉降,16,地面压裂设备发生故障...导致支撑剂沉降在井筒内,1
T00116,支撑剂沉降,导致,砂堵,16,支撑剂沉降在井筒内，堵塞炮眼处...发生砂堵,1
T00117,JY-A2HF 井,发生于,砂堵,16,JY-A2HF 井第 10 段砂堵,1
T00118,砂堵,原因是,压裂设备故障,17,本井发生砂堵的主要原因是由于压裂设备故障,1
T00119,压裂设备故障,导致,停泵,17,由于压裂设备故障导致停泵、沉砂,1
T00120,压裂设备故障,导致,沉砂,17,由于压裂设备故障导致停泵、沉砂,1
T00121,砂堵,处置措施,设备维护保养,17,必须做好压裂设备的维护保养和检修工作,1
T00122,砂堵,处置措施,放喷解堵,"17,18,20,25,28,40,43,44,50,57,63,171",反映出放喷解堵的方式对此类砂堵井适应性较好 | 现场讨论后决定放喷解堵 | 采取了放喷解堵、酸化解堵、小排量顶替解堵 3 种手段 | 现场讨论后决定放喷解堵。采用 20mm 油嘴控制放喷 | 砂堵停泵后，采用开井方式进行放喷解堵,12
T00123,JY-A3HF 井,包含,第 6 段,17,1.3 JY-A3HF 并第 6 段砂堵,1
T00124,粉砂阶段,表现为,施工压力波动明显,17,粉砂阶段施工压力波动明显,1
T00125,施工压力波动明显,相关,多裂缝破裂,17,反映出多裂缝破裂特征,1
T00126,中砂阶段,表现为,压力相对平稳,17,中砂阶段，压力相对平稳,1
T00127,13% 砂比,导致,砂堵,18,当 13% 的砂比加砂进入地层后，由于裂缝宽度不够，导致形成突然性砂堵,1
T00128,层理缝发育,导致,压裂液滤失大,18,本段穿行于①号、②号小层，层理缝发育，压裂液滤失大,1
T00129,压裂液滤失大,导致,裂缝宽度窄,18,压裂液滤失大，造缝效率低，裂缝宽度窄,1
T00130,裂缝宽度窄,导致,砂堵,18,由于裂缝宽度不够，导致形成突然性砂堵,1
T00131,砂堵,表现为,超压停泵,"18,19,50",导致超压停泵，发生砂堵 | 超压停泵，出现砂堵现象。 | 施工压力 73MPa 升至 95MPa，超压停泵,3
T00132,放喷液量 25m3,影响,解堵成功,18,累计放喷液量 25m3 后再次试挤，解堵成功,1
T00133,直接试挤,表现为,弹簧状变化,18,采取直接试挤减阻水、胶液、酸液进行解堵，施工压力曲线为“弹簧状”变化,1
T00134,酸液,处置措施,砂堵,18,后挤入 10m3 酸液，压力仍无明显下降,1
T00135,减阻水,处置措施,砂堵,18,累计试挤 100m3 减阻水，施工压力稳定,1
T00136,砂堵,处置措施,放喷,"19,42,48,61,64,65,68,71,74,76",砂堵停泵后，首先采用了 3 次放喷 | 若一旦发生砂堵，应采取放喷、试挤的方式进行解堵 | 发生砂堵停泵后，采取放喷、试挤的方式解堵 | 处理过程主要是放喷、试挤 | 而在出现砂堵后，采用放喷的方法,10
T00137,砂堵,处置措施,低排量试挤减阻水,19,采用了 3 次放喷和低排量试挤减阻水,1
T00138,泵车旋塞阀,表现为,刺漏,19,泵车旋塞阀刺漏，停泵整改。,1
T00139,刺漏,处置措施,停泵整改,19,泵车旋塞阀刺漏，停泵整改。,1
T00140,粉陶段塞,影响,压力,19,加入砂比 3% 粉陶段塞，压力 74MPa 升至 82MPa 再至 92MPa,1
T00141,排量,影响,压力,19,排量升至 11m³/min，压力升至 84MPa,1
T00142,第 1 段,相关,⑤号小层,19,第 1 段穿行于⑤号小层,1
T00143,施工压力高,导致,砂堵,20,由于施工压力高，与限压差值小，导致砂堵,1
T00144,施工压力高,导致,近井地带砂堵,20,由于施工压力高，与限压差值小，导致砂堵...导致近井地带发生砂堵,1
T00145,砂堵,处置措施,酸化解堵,20,采取了放喷解堵、酸化解堵、小排量顶替解堵 3 种手段,1
T00146,砂堵,处置措施,小排量顶替解堵,20,采取了放喷解堵、酸化解堵、小排量顶替解堵 3 种手段,1
T00147,管线刺漏,发生于,升排量过程中,20,升排量过程中出现管线刺漏，停泵整改,1
T00148,粉陶段塞,导致,压力升高,20,粉陶段塞进入地层后，压力升高 3MPa,1
T00149,层理缝,影响,裂缝扩展形态复杂,20,为层理缝、高角度裂缝发育段，裂缝扩展形态复杂,1
T00150,缝宽窄,导致,对砂比敏感性较强,20,缝宽窄，对砂比敏感性较强,1
T00151,切换胶液,导致,泵压异常,20,切换胶液后，施工压力开始快速上升，由 50MPa 升至 95MPa,1
T00152,砂堵,导致,停泵,"21,35,37",压停泵，发生砂堵 | 压力骤升至限压 90 MPa，砂堵停泵 | 压力骤升至限压（90MPa），砂堵停泵,3
T00153,转换胶液,原因是,砂堵,21,当转换胶液后，砂比 16% 的中砂进入裂缝后形成突然性砂堵,1
T00154,胶液,导致,摩阻压力,21,胶液摩阻较高，增加摩阻压力 6~8MPa,1
T00155,缝宽,影响,施工压力,21,由于缝宽较窄，前期砂比中砂进入地层后，压力已呈现上升趋势,1
T00156,中砂,发生于,裂缝缝口,21,在裂缝缝口产生堆积、堵塞,1
T00157,关井反应,处置措施,砂堵,21,砂堵停泵后，先采用关井反应,1
T00158,连续油管冲砂,处置措施,砂堵,"21,62,66",采用连续油管冲砂解堵 | 连续油管冲砂解堵施工 | 决定采用连续油管冲砂试挤解堵...解堵成功,3
T00159,连续油管射孔,处置措施,砂堵,21,仍未完全解堵...决定采用连续油管射孔方式,1
T00160,高砂比,导致,砂堵,22,使用高砂比转胶液时，压力出现大幅上升，造成砂堵,1
T00161,转换液性,处置措施,隔离液,22,若需要转换液性施工，应将顶替足够的隔离液后再转换液性,1
T00162,油泥,影响,压裂施工,22,减少压裂过程中“油泥”对地层的伤害及对压裂施工的影响,1
T00163,胶液,导致,压力大幅上升,22,胶液进入井筒后压力快速由 49.2MPa 升至 70.1MPa,1
T00164,压力快速上升,处置措施,降排量,22,为防止超压，降排量至 12m³/min，有效控制了压力升高趋势,1
T00165,JY-A6HF 井,发生于,第 5 段,22,1.6 JY-A6HF 并第 5 段砂堵,1
T00166,第 1 段压裂施工,处置措施,井筒清洁,22,在各井第 1 段压裂施工时，应以清洁钻井井筒污染为主要目的,1
T00167,砂堵,导致,超压停泵,"23,65,70",砂堵后二次试挤曲线见图 1-7，直到超压停泵 | 施工压力由 77MPa 升至 95MPa，超压停泵，发生砂堵 | 压力陡升至 96.69MPa，超压停泵，发生砂堵,3
T00168,地层堵塞严重,处置措施,连续油管冲砂,23,现场分析认为地层堵塞严重，下步采取连续油管冲砂,1
T00169,施工压力过高,导致,停泵,23,施工压力过高，停泵,1
T00170,连续油管,包含,平底磨鞋,"23,153,180,213",下连续油管，底带冲砂管柱（管柱结构：\phi 110\mathrm{mm} 平底磨鞋 | 管柱结构：φ108mm 平底磨鞋 | 连续油管底带 112mm 平底磨鞋开始进行钻磨桥塞 | 管柱结构：φ108mm 平底磨鞋 + φ73mm 螺杆马达,4
T00171,胶液进地层,导致,施工压力过高,23,胶液进地层后压力由 52.3MPa 升至 70.1MPa，压力变化超出正常摩阻,1
T00172,砂堵,发生于,二次试挤,24,图 1-7 砂堵后二次试挤曲线,1
T00173,二次试挤,监测指标,压力增加值不超过 10MPa,24,增加值不超过 10MPa,1
T00174,压力上升速度较快,导致,超压,24,考虑压力上升速度较快，为避免超压,1
T00175,超压,处置措施,降排量,24,为避免超压，降排量至 12m³/min,1
T00176,降排量,影响,缝内净压力降低,24,"降排量至 12m³/min , 缝内净压力降低",1
T00177,降排量,影响,缝宽变窄,24,缝内净压力降低，缝宽变窄,1
T00178,压力陡降,原因是,产生新缝,24,压力突降表明产生新缝,1
T00179,产生新缝,相关,裂缝系统改变,24,地层形成的裂缝系统发生明显改变,1
T00180,胶液,导致,压力异常升高,25,图 1-8 胶液进地层后压力异常升高,1
T00181,支撑剂,导致,砂堵,25,大量支撑剂迅速“过滤、沉积”在近井筒附近，发生砂堵。,1
T00182,粉陶,影响,滤失,25,可以适当使用粉陶进行小裂缝堵塞，降低地层滤失。,1
T00183,试挤,导致,堵塞愈加严重,25,过多试挤造成堵塞愈加严重。,1
T00184,胶液,原因是,砂堵,25,本段砂堵发生在胶液携砂进入地层的过程中,1
T00185,JY-A7HF 井,发生于,砂堵,25,1.7 JY-A7HF 并第 7 段砂堵,1
T00186,压力突然上升,表现为,砂堵,"25,55",为突然性砂堵，即压力突然上升 | 中陶进地层后压力突然上升，砂堵,2
T00187,砂堵,发生于,近井地带,26,砂堵发生在近井地带,1
T00188,砂堵,原因是,胶液摩阻大,26,主要原因为胶液摩阻大、缝宽窄,1
T00189,砂堵,原因是,缝宽窄,26,主要原因为胶液摩阻大、缝宽窄,1
T00190,砂堵,原因是,高砂比粗砂进入困难,26,高砂比粗砂进入困难,1
T00191,减阻水转胶液,导致,摩阻增加,26,由减阻水转胶液后摩阻一般增加,1
T00192,高砂比粗砂,相关,砂桥,26,高砂比粗砂在裂缝缝口形成砂桥,1
T00193,砂桥,导致,砂堵,"26,45",形成砂桥，导致砂堵 | 在裂缝缝口形成“砂桥”，施工压力升高，导致砂堵现象发生,2
T00194,胶液量较少,导致,难以在短时间内形成有效的缝宽,26,由于胶液量较少，难以在短时间内形成有效的缝宽,1
T00195,砂堵,原因是,缝宽较窄,27,本井发生砂堵的主要原因是由于缝宽较窄,1
T00196,高砂比粗砂,导致,砂堵,27,高砂比粗砂进入困难,1
T00197,直接试挤方式,表现为,解堵成功率低,27,采用直接试挤方式解堵成功率较低,1
T00198,放喷解堵方式,处置措施,砂堵,27,宜采用放喷解堵方式,1
T00199,压力出现缓慢上升趋势,表现为,地层已疏通,27,当压力出现缓慢上升趋势时，说明地层已疏通,1
T00200,JY-A8HF 井,发生于,砂堵,27,1.8 JY-A8HF 并第 1 段砂堵,1
T00201,施工压力,监测指标,砂堵,"27,34,70,71",施工压力突然迅速上升，由 64MPa 升至 95MPa | 施工压力快速升至限压，形成突然性砂堵 | 突然压力曲线的斜率瞬间增加，压力陡升至 96.69MPa | 从施工曲线可以观察到，从开始加 40/70 目覆膜陶粒后压力就一直成上升趋势,4
T00202,施工压力,导致,超压停泵,"27,56",施工压力突然迅速上升...超压停泵 | 施工压力 50MPa 升至 95MPa 超压停泵,2
T00203,前置液阶段,包含,粉砂,27,前置液阶段...按设计加入砂比 3% 粉砂,1
T00204,砂堵,原因是,粉砂携砂液,28,砂比 3% 粉砂携砂液 40m³ 进入地层后发生突然性砂堵,1
T00205,砂堵,原因是,油泥,28,这些油泥堵塞地层,1
T00206,井筒较脏,相关,油泥,28,说明井筒较脏。这些油泥堵塞地层,1
T00207,施工压力,导致,放弃该段压裂,28,由于施工压力较高，不能满足泵送作业要求，因此决定放弃该段压裂,1
T00208,放弃该段压裂,导致,连续油管传输座封桥塞及射孔施工,28,因此决定采取连续油管传输座封桥塞及射孔施工,1
T00209,连续油管洗井冲砂,相关,油泥,28,在后期连续油管冲砂洗井过程中，捕屑器捕获油泥等脏物,1
T00210,试挤,包含,减阻水,"28,48,68,110",试挤减阻水 13.36m³ | 试挤施工过程中，正挤减阻水 41.8m³ | 正挤减阻水 72.56m³ | 试挤：挤酸 10.0m³，减阻水 297.2m³,4
T00211,试挤,包含,盐酸,"28,68,73",试挤盐酸 10.11m³ | 正挤盐酸 10.0m³ | 试挤时挤入盐酸 10m³,3
T00212,油基泥浆,导致,砂堵,29,油基泥浆和丝扣油附着套管内壁...导致发生压力异常波动及砂堵,1
T00213,丝扣油,导致,压力异常波动,29,油基泥浆和丝扣油附着套管内壁...导致发生压力异常波动及砂堵,1
T00214,油泥,导致,裂缝堵塞,29,可以看出油泥对裂缝堵塞严重,1
T00215,清洗剂,处置措施,砂堵,29,用清洗剂对套管进行清洗，以保证压裂施工正常平稳运行,1
T00216,放喷,处置措施,砂堵,"29,66,70",本段采取三次放喷、试挤解堵 | 经过二次放喷、试挤未解堵成功 | 再次停泵，现场决定放喷，井口压力从 82.10MPa 降至 22.00MPa,3
T00217,连续油管冲砂洗井,处置措施,砂堵,29,及时采取连续油管洗井冲砂方式进行解堵,1
T00218,JY-A9HF 井,发生于,砂堵,29,1.9 JY-A9HF 并第 2 段砂堵,1
T00219,第四次试挤施工曲线,导致,异常砂堵,29,图 1-13 第四次试挤施工曲线 是本段发生异常砂堵的主要原因,1
T00220,施工压力陡增,导致,设备瞬间超压停泵,30,施工压力陡增，设备瞬间超压停泵（设备超压设置为 95MPa）,1
T00221,地层通道狭窄,导致,不能建立足够排量,30,地层通道狭窄不能建立足够排量泵送桥塞,1
T00222,100 目粉陶打磨地层,导致,压降明显,30,先采用低浓度 100 目粉陶打磨地层...压降明显,1
T00223,中砂段塞,导致,顶替压力明显增高,30,当砂比为 (11% +12%) 的中砂段塞...进入地层后，顶替压力明显增高,1
T00224,设备瞬间超压停泵,处置措施,放喷,30,设备瞬间超压停泵...10:55~12:27 采用 12mm 油嘴进行第一次放喷,1
T00225,试挤,监测指标,压力,30,开始第一次试挤...压力从 18MPa 升至 85MPa,1
T00226,试挤,表现为,压力升高,31,进行第四次试挤，压力从 0 升至 85MPa,1
T00227,高砂比,导致,桥堵,31,高砂比加砂易形成桥堵,1
T00228,裂缝宽度不够,原因是,地层因素限制,31,受地层因素限制，人工裂缝宽度不够,1
T00229,胶液性能不达标,导致,裂缝未充分扩展,31,胶液降滤失性能不达标，人工裂缝未充分扩展,1
T00230,套管壁油泥,导致,二次污染,31,套管壁附着有油泥，导致对地层的二次污染,1
T00231,地层未通,处置措施,放弃本段施工,31,地层未通，放弃本段施工，转入第 3 段施工,1
T00232,砂堵,发生于,第 4 段,32,1.10 JY-A10HF 并第 4 段砂堵,1
T00233,第 4 段,包含,③号小层,32,第 4 段深度 3732m，穿行于 ③ 号小层,1
T00234,砂堵,表现为,施工压力快速上升,32,施工压力快速上升，由 54MPa 升至 95MPa,1
T00235,施工压力快速上升,导致,超压停泵,32,施工压力快速上升...超压停泵,1
T00236,粗砂,相关,施工压力快速上升,32,粗砂进入地层后，施工压力快速上升,1
T00237,砂比 15%,相关,施工压力快速上升,32,当最后一段砂比 15% 粗砂进入地层后，施工压力快速上升,1
T00238,砂堵,处置措施,关井反应,32,发生砂堵停泵后，先采用关井反应,1
T00239,砂堵,处置措施,开泵试挤,32,先采用关井反应、开泵试挤的方法试挤,1
T00240,砂堵,处置措施,开井放喷,"32,39",试挤不成功，决定开井放喷 | 砂堵后，开井放喷 0.5h 后用减阻水试挤,2
T00241,第二次放喷、试挤施工,表现为,解堵未成功,33,第二次放喷、试挤施工...停止施工，解堵未成功。,1
T00242,第三次放喷、试挤施工,表现为,压力仍有上升趋势,33,第三次放喷、试挤施工...压力 57~60MPa，仍有上升趋势。,1
T00243,第三次放喷、试挤施工,处置措施,停止施工,33,仍有上升趋势。停止施工，下步再试挤,1
T00244,第三次放喷、试挤施工,处置措施,下步再试挤,33,停止施工，下步再试挤，见图 1-17。,1
T00245,第五次试挤施工,表现为,解堵成功,33,第五次试挤施工...停止施工，解堵成功,1
