page_no,keyword_score,matched_keywords,snippet
23,27,砂堵、堵塞、压力、排量、停泵、放喷、酸液,图1-6 压裂施工曲线1.6.3 处理过程21:12~21:17 小排量试挤减阻水两次，施工压力迅速升至限压（90MPa），停泵；至22:57采用10mm油嘴控制放喷，井口压力33.0MPa降至0，放喷液量49.98m³，火焰高度1.5~2.0m（
24,8,砂堵、压力、排量、砂比、加砂,"图1-7 砂堵后二次试挤曲线增加值不超过 10\mathrm{MPa}, 见图 1-8。表明胶液进入地层后, 裂缝发生改变, 明显不同于减阻水加砂阶段的裂缝; 考虑压力上升速度较快, 为避免"
25,33,砂堵、堵塞、压力、排量、砂比、加砂、停泵、放喷,图1-8 胶液进地层后压力异常升高分流，从而导致缝宽减小，支撑剂通过性能变差， (16\% + 18\%) 段塞进入地层后，大量支撑剂迅速“过滤、沉积”在近井筒附近，发生砂堵。1.6.5 经验教训 （1
26,7,砂堵、砂桥、压力、砂比、放喷,图1-9 压裂施工曲线图1-10 放喷、试挤施工曲线砂堵发生在近井地带，主要原因为胶液摩阻大、缝宽窄，高砂比粗砂进入困难。由减阻水转胶液后摩阻一般增加 6\sim 8\mathrm{MPa} 以上，该段转胶后压力升
27,20,砂堵、压力、排量、砂比、加砂、停泵、放喷,"1.7.5 经验教训 (1) 本井发生砂堵的主要原因是由于缝宽较窄，高砂比粗砂进入困难。下步压裂时，针对压力变化特征，优化调整转胶液时间和加砂砂比，减少砂堵风险。(2) 从解堵过程中压力变化可以看出, 采用直接试挤方式"
28,21,砂堵、堵塞、压力、排量、砂比、停泵、放喷,1.8.3 处理过程砂堵停泵后，采用开井方式进行放喷解堵。第一次放喷、试挤施工：开井敞放 53\mathrm{min}，放喷液量 26.5\mathrm{m}^3，井口压力由 20\mathrm{MP
29,9,砂堵、堵塞、压力、放喷,图1-13 第四次试挤施工曲线施工日期：2014年08月16日是本段发生异常砂堵的主要原因。1.8.5 经验教训 (1) 作为本井第 1 段，在完井过程中油基泥浆和丝扣油附着套管内壁。而这些套管附着的油泥进入地层后会极大地影响正常的压裂施工，导致发生压力异
30,29,压力、排量、砂比、停泵、放喷,1.9.2 发生过程2014年8月20日7:00开泵，高挤盐酸 20.02\mathrm{m}^3 ，施工压力 41\sim 72\mathrm{MPa} ，排量 2\mathrm{m}^3 /\mathrm{min} 随后以 2\mathrm{m}^3 /\mathrm{min} 排
31,12,压力、排量、砂比、加砂、放喷,14:29 ~ 16:29 敞放进行第三次放喷，放喷液量 48\mathrm{m}^3 。16:28 ~ 16:44 进行第四次试挤，排量从 0.6\mathrm{m}^3/\mathrm{min} 升至 1.2\math
32,22,砂堵、压力、排量、砂比、停泵、放喷,1.10 JY-A10HF 并第4段砂堵1.10.1 基本情况JY-A10HF井人工井底 3975.86\mathrm{m} 。第4段深度 3732\mathrm{m} ，穿行于 ③ 号小层，井筒容积 39\math
33,20,压力、排量、放喷,第二次放喷、试挤施工：开井敞放，放喷液量 135\mathrm{m}^3 ，放喷出口压力由0升至 2\mathrm{MPa} ，放喷后试挤。试挤总液量 121.6\mathrm{m}^3
34,26,砂堵、堵塞、压力、排量、砂比、加砂,1.10.4 原因分析从本段施工曲线可以看出，在本段加砂压裂施工过程中，整体压力平稳，裂缝延伸顺畅，但在粉砂和中砂阶段多次出现了压力曲线的“尖峰”点，反映地层存在微裂缝，支撑剂进入微裂缝中形成堵塞，同时压力的升高又促使其他的微裂缝开
35,36,砂堵、泵压、压力、排量、砂比、加砂、停泵、放喷,量 8.6 \sim 14.0 \mathrm{~m}^{3} / \mathrm{min} 。加入100目粉陶 2.06 \mathrm{~m}^{3}，砂比 3\%，压力骤升至限压 90 \mathrm{MPa}，砂堵停泵。累计压裂液量 434.62 \mathrm{~m}^{3}，加砂量 2.06 \mathrm{~m}^{3}
36,22,砂堵、压力、排量、砂比、加砂,图1-20 第1段（第二次）压裂施工曲线14~15日，正挤 15\% 盐酸 10.0\mathrm{m}^3 、减阻水 111.26\mathrm{m}^3 ，排量 0.99\mathrm{m}^3/\mathrm{min} 升至 6.08\mathrm{m}^3/\mathrm{min} 再降至 2.40\mathrm{m}^3/\ma
37,29,砂堵、压力、排量、砂比、加砂、停泵、放喷,第一次压裂施工砂堵，第二次压裂施工应该及时调整施工参数，提高前置液数量，提高地层能力，可以增加砂堵后放喷疏导的成功率。1.11.3 第10段压裂砂堵1. 发生过程24日 12:50\sim 13
38,23,砂堵、泵压、压力、排量、砂比、加砂、停泵,25日 10:36\sim 10:48 正挤 15\% 盐酸 20.00\mathrm{m}^3 ，施工压力 24.9\sim 59.3\mathrm{MPa} ，排量 0.5\sim2.0\mathrm{m}^3 /\mathrm{min} ；至 13:18 正挤前置液 150.0
39,22,砂堵、压力、排量、加砂、停泵、放喷,1.12 JY-A12HF并第13段砂堵1.12.1 基本情况JY-A12HF井人工井底 4287\mathrm{m} 。第12级桥塞深度 3355.0\mathrm{m} ，穿行于 ② 号小层，井筒容积 43.8\
40,35,砂堵、压力、排量、砂比、停泵、放喷、酸液,"1.12.4 原因分析(1) 提升排量的速度不够, 造缝效果不理想, 裂缝开启程度不够;(2) 胶液性能不达标，导致前期分支缝较多，缝宽较窄。1.12.5 经验教训 (1) 前置液阶段应该快速提升排量, 保证前期开"
41,13,砂堵、堵塞、压力、排量、砂比、加砂、放喷、酸液,图1-24 压裂施工曲线3\mathrm{m}，累计放喷液量 56.3\mathrm{m}^3 。关井进行第三次试挤施工，试挤液量 616.2\mathrm{m}^3 （酸液 10.1\mathrm{m}^3 、减阻水 606.1\
42,16,砂堵、压力、排量、砂比、加砂、停泵、放喷,"1.13.5 经验教训 （1）各井第1段均存在较严重的井筒油泥污染情况，在压裂施工中反映出压力曲线波动异常且整体偏高，提高了整段压裂施工的风险，因此，在前期的井筒清理中，要采取相应的措施，保证井筒清理干净，降低施工风险。(2) 若在各井第 1 段压裂施工中发生砂堵情况,"
43,3,砂堵、放喷,1.14.3 处理过程本段砂堵后，采取放喷解堵。放喷后共进行了4次试挤施工，历时15天，累计试挤盐酸 6.7\mathrm{m}^3 ，减阻水 221\mathrm{m}^3 ，但均未试挤成功，始终无法解堵
44,30,砂堵、堵塞、压力、排量、砂比、加砂、停泵、放喷,1.14.4 原因分析砂堵发生在粗砂砂比 14\% 阶段（胶液），此时已经完成顶替并超过设计顶替量 20\mathrm{m}^3，说明砂堵主要是因为远端裂缝延伸长度和缝宽已不能满足加砂要求，地层进砂能力
45,26,砂堵、砂桥、压力、排量、砂比、加砂、停泵、放喷,图1-29 压裂施工曲线1.15.4 原因分析本段施工过程中，在砂比（ 9\% + 10\%）中砂进入地层后施工压力上升。施工压力上升后，采取降低砂比、减少携砂液量的办法尝试加砂，施工压力依旧上升，最后超压停泵。分析砂堵原因为：本段穿行②号小层
46,26,砂堵、压力、排量、砂比、停泵、放喷,1.16 JY-A16HF并第8段砂堵 1.16.1 基本情况JY-A16HF井人工井底 4803\mathrm{m} 。第8段穿行于①号、②号小层，井筒容积 45\mathrm{m}^3 。本段压裂设计液量 17
47,20,砂堵、压力、排量、砂比、放喷,显下降，由 70\mathrm{MPa} 降至 53\mathrm{MPa}，酸降后逐步提升排量至 12.8\mathrm{m}^3/\mathrm{min}，施工压力由 75\mathrm{MPa} 降至 70\mathrm{MPa}，解堵成功，见图1-31。图1-31
48,20,砂堵、压力、排量、砂比、停泵、放喷,1.17 JY-A17HF并第16段砂堵1.17.1 基本情况JY-A17HF井人工井底 4882\mathrm{m} 。第16段穿行于①号小层，井筒容积 39\mathrm{m}^3 。第16段压裂设计液量 170
49,28,砂堵、砂桥、压力、排量、砂比、加砂、停泵、放喷,解堵未成功；第二次放喷、试挤施工：开口敞放，放喷液量 167.5\mathrm{m}^3 ，放喷后关井试挤。试挤减阻水 201.3\mathrm{m}^3 ，施工压力 78.82\mathrm{MP
50,20,砂堵、压力、排量、砂比、加砂、停泵、放喷,定或缓慢提升排量，待酸进入地层后，可适当加快提升排量的速度，以提高试挤解堵施工的有效成功率。1.18 JY-A18HF并第2段砂堵1.18.1 基本情况JY-A18HF井人工井底 5115\m
51,10,压力、排量、停泵、放喷,量 1.5\mathrm{m}^3 /\mathrm{min} ，施工压力 88\mathrm{MPa} ，停止施工，总液量 85.9\mathrm{m}^3 ，解堵未成功，见图1-35。图1-35 试挤施工曲线19日再次放喷，放喷液量 40\mat
52,9,压力、排量、停泵、放喷,21日放喷，放喷液量 93\mathrm{m}^3 后，继续试挤。排量 0.5\mathrm{m}^3/\mathrm{min}，施工压力 94\mathrm{MPa}，总液量 49.8
53,42,砂堵、压力、排量、砂比、停泵、放喷、酸液,26 日电缆泵送补孔二簇后（5038.0~5039.0m、5014.0~5015.0m）重新压裂施工。27 日开井压力 11\mathrm{MPa}，排量 2\mathrm{m}^3/\mathrm{min} 升至 6\mathrm{m}^3/\mathrm{min}，挤酸 41\mathrm
54,3,砂堵、排量、酸液,图1-40 试挤施工曲线本段共进行压裂施工3次，试挤施工7次。10次施工总液量 3439.5\mathrm{m}^3 ，酸液 113\mathrm{m}^3 ，减阻水 3219.5\mathrm{m}^3 ，胶液 107\mathrm{m}^3 。总砂量 40.65\mathrm{m}^3 ，粉陶 
55,6,砂堵、压力、砂比、加砂,图1-42 试挤施工曲线图1-43 压裂施工曲线由于近井地带被堵死，导致试挤4次均无效，连续油管补孔压裂过程中，砂比 9\% 中陶进地层后压力突然上升，砂堵，说明塑性地层被快速压缩后恢复能力较差，造成局部应力过大，裂缝延伸困难，易造成砂堵。试挤3次无效后，连续油管冲砂后重新压裂，由于压裂过程
56,13,砂堵、压力、排量、砂比、停泵、放喷,"前期钻井带来的污染和伤害,因此在压裂施工时应充分考虑这些因素, 以避免影响施工的正常判断。(3) 本井解堵困难也再次反映出, 由于本段为该井第 2 段施工, 地层能量相对不足,因此放喷解堵的成功率受到影响。1.19 JY-A19HF 并第1段砂堵1.19.1 基本情况JY-A19HF井人工井底 4578\mathrm{m} 。第1段穿行于③号小层，井筒容积 "
57,15,砂堵、压力、排量、放喷,1.19.3 处理过程第一次试挤施工：砂堵后采取放喷解堵，放喷液量 32\mathrm{m}^3 ，放喷后进行试挤。挤酸 10\mathrm{m}^3 ， 0.5\sim 1.0\mathrm{m}^3 /\mathr
58,9,压力、排量、放喷,第三次试挤施工：重新放喷后，继续试挤。分别替酸3次，共计 42\mathrm{m}^3 ，试挤排量 0.5\mathrm{m}^3 /\mathrm{min} 提到 3.0\mathrm{m}^3 /
59,8,压力、排量、放喷、沉砂,图1-49 第五次试挤施工曲线第六次试挤施工：放喷后，继续试挤。试挤排量 0.5\mathrm{m}^3/\mathrm{min} 升至 3.8\mathrm{m}^3/\mathrm{min}，施工压力 48\mathrm{
60,19,砂堵、堵塞、压力、排量、砂比、停泵,井在钻井过程中，水平段共发生6次井漏，对储层造成一定污染。在本段施工前期，已加入清洗剂处理井筒。但从本段压裂施工曲线可以看出，本段仍明显存在“污染”情况，在替酸及加入粉砂阶段，施工压力有明显波动。当第一个中砂进入地层后，施工压力由 59\mathrm{MPa} 升至 69\mathrm{MPa}，地层明显存在“污染”堵塞。加入一个粉陶段塞后，施工压力下降且保
61,14,砂堵、压力、排量、砂比、停泵、放喷,1.20 JY-A20HF并第1段砂堵1.20.1 基本情况JY-A20HF井人工井底 4846\mathrm{m} 。本段穿行于 ③ 号小层，井筒容积 50\mathrm{m}^3 。本段压裂设计液量 1850\
62,26,压力、排量、放喷,量 18.0 \mathrm{~m}^{3} 。至 13 日 11:00 因施工压力过高，套管敞放，井口压力 42.0 \mathrm{MPa} 降至 0，返排液量 43.0 \mathrm{~m}^{3}，累计返排液量 61.0 \mathrm{~m}^{3
63,36,砂堵、泵压、压力、排量、砂比、停泵、放喷,本段通过5次试挤，都因泵压过高，试挤失败，结束本段压裂施工，进行下段施工。1.20.4 原因分析压裂施工前期加6个70/140目粉陶砂段，出现6个尖峰相应，证明每次粉砂进地层都有对地层裂缝缝口打磨作用，
